Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168878,24/02/2026,King's Lynn,Buxton,Terry Bondo,right-foot,regular,goal,0.4342,0.5844
14168894,28/02/2026,King's Lynn,Oxford,Terry Bondo,right-foot,regular,goal,0.0736,0.6618
14168907,07/03/2026,King's Lynn,Marine,Terry Bondo,right-foot,penalty,post,0.76,0.0
14168907,07/03/2026,King's Lynn,Marine,Terry Bondo,head,regular,post,0.76,0.0
14168907,07/03/2026,King's Lynn,Marine,Terry Bondo,head,regular,miss,0.3232,0.0
15578956,17/03/2026,King's Lynn,South Shields,Terry Bondo,head,regular,miss,0.05497,0.0
14168941,21/03/2026,King's Lynn,Curzon Ashton,Terry Bondo,right-foot,regular,block,0.001221,0.0
15495110,24/03/2026,King's Lynn,Leamington,Terry Bondo,right-foot,regular,goal,0.1375,0.8256
15495110,24/03/2026,King's Lynn,Leamington,Terry Bondo,left-foot,regular,miss,0.1174,0.0
14168583,04/10/2025,Marine,Macclesfield,Terry Bondo,right-foot,regular,miss,0.1505,0.0
14168583,04/10/2025,Marine,Macclesfield,Terry Bondo,right-foot,regular,save,0.0921,0.2113
14168872,21/02/2026,King's Lynn,Macclesfield,Terry Bondo,right-foot,regular,save,0.0542,0.1139
14168577,20/09/2025,Marine,King's Lynn,Terry Bondo,right-foot,regular,block,0.03003,0.0
14168835,07/02/2026,King's Lynn,Radcliffe,Terry Bondo,left-foot,regular,goal,0.2125,0.5015
14168922,10/03/2026,King's Lynn,Scarborough,Terry Bondo,right-foot,regular,save,0.1039,0.1877
