Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168476,09/08/2025,Buxton,Radcliffe,Sam Robinson,right-foot,regular,miss,0.03331,0.0
14168492,19/08/2025,Buxton,Hereford,Sam Robinson,head,regular,save,0.0922,0.05861
14168492,19/08/2025,Buxton,Hereford,Sam Robinson,left-foot,regular,save,0.01174,0.01286
14168557,06/09/2025,Buxton,Oxford,Sam Robinson,right-foot,regular,miss,0.006902,0.0
14168662,08/11/2025,Buxton,Chester,Sam Robinson,right-foot,regular,block,0.073,0.0
14168700,29/11/2025,Buxton,Merthyr,Sam Robinson,right-foot,set-piece,save,0.1234,0.2549
14168700,29/11/2025,Buxton,Merthyr,Sam Robinson,head,corner,save,0.07955,0.3573
14168724,20/12/2025,Buxton,Telford,Sam Robinson,right-foot,regular,miss,0.1011,0.0
14168783,17/01/2026,Buxton,Marine,Sam Robinson,left-foot,set-piece,miss,0.004145,0.0
14168820,31/10/2025,Buxton,Spennymoor,Sam Robinson,right-foot,regular,block,0.07532,0.0
14168820,31/10/2025,Buxton,Spennymoor,Sam Robinson,right-foot,regular,save,0.04353,0.1494
14168845,10/02/2026,Buxton,Peterborough,Sam Robinson,right-foot,regular,miss,0.001221,0.0
14168552,02/09/2025,Buxton,Scarborough,Sam Robinson,head,regular,miss,0.09523,0.0
14168511,23/08/2025,Buxton,Telford,Sam Robinson,right-foot,corner,miss,0.01359,0.0
