Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168656,04/11/2025,Darlington,Worksop,Tom Platt,head,set-piece,miss,0.161,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Tom Platt,head,throw-in-set-piece,block,0.04006,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Tom Platt,right-foot,regular,block,0.07486,0.0
14168787,17/01/2026,Darlington,Alfreton,Tom Platt,left-foot,throw-in-set-piece,block,0.03071,0.0
14168823,31/01/2026,Darlington,Merthyr,Tom Platt,right-foot,corner,miss,0.178,0.0
14168895,28/02/2026,Darlington,Bedford,Tom Platt,right-foot,set-piece,block,0.03438,0.0
14168918,10/03/2026,Darlington,Buxton,Tom Platt,left-foot,set-piece,miss,0.6267,0.0
14168667,08/11/2025,Darlington,Kidderminster,Tom Platt,right-foot,set-piece,block,0.002224,0.0
14168618,21/10/2025,Darlington,Radcliffe,Tom Platt,right-foot,regular,miss,0.0139,0.0
14168742,26/12/2025,Darlington,Scarborough,Tom Platt,right-foot,throw-in-set-piece,block,0.00185,0.0
14168840,07/02/2026,Darlington,Southport,Tom Platt,left-foot,corner,goal,0.3394,0.5381
