Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Frank Tattum,right-foot,regular,save,0.1327,0.05024
15326174,03/02/2026,Leamington,Chorley,Frank Tattum,left-foot,corner,miss,0.5349,0.0
14168920,10/03/2026,Leamington,Hereford,Frank Tattum,right-foot,throw-in-set-piece,goal,0.1696,0.1383
14168740,26/12/2025,Leamington,Bedford,Frank Tattum,right-foot,regular,miss,0.07839,0.0
14168904,07/03/2026,Leamington,Fylde,Frank Tattum,left-foot,throw-in-set-piece,goal,0.7685,0.8627
14168904,07/03/2026,Leamington,Fylde,Frank Tattum,right-foot,regular,save,0.1006,0.4313
14168904,07/03/2026,Leamington,Fylde,Frank Tattum,right-foot,regular,miss,0.03269,0.0
14168904,07/03/2026,Leamington,Fylde,Frank Tattum,right-foot,regular,save,0.1125,0.1226
14168942,21/03/2026,Leamington,Scarborough,Frank Tattum,left-foot,regular,miss,0.0836,0.0
14168942,21/03/2026,Leamington,Scarborough,Frank Tattum,right-foot,regular,save,0.0266,0.04577
14168942,21/03/2026,Leamington,Scarborough,Frank Tattum,left-foot,regular,goal,0.1735,0.6538
14168958,28/03/2026,Leamington,Peterborough,Frank Tattum,right-foot,regular,goal,0.5712,0.6524
14168852,10/02/2026,Leamington,Macclesfield,Frank Tattum,left-foot,regular,save,0.1005,0.1078
14168859,14/02/2026,Leamington,Marine,Frank Tattum,right-foot,set-piece,miss,0.1091,0.0
14168859,14/02/2026,Leamington,Marine,Frank Tattum,head,regular,save,0.1237,0.08389
14168731,20/12/2025,Leamington,Radcliffe,Frank Tattum,right-foot,regular,miss,0.04798,0.0
15447037,03/03/2026,Leamington,Telford,Frank Tattum,right-foot,throw-in-set-piece,goal,0.08087,0.2532
14168963,03/04/2026,Leamington,Bedford,Frank Tattum,right-foot,regular,block,0.007907,0.0
