Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168927,14/03/2026,Peterborough,Alfreton,Maliq Cadogan,right-foot,regular,miss,0.00479,0.0
14168927,14/03/2026,Peterborough,Alfreton,Maliq Cadogan,right-foot,free-kick,miss,0.0003674,0.0
14168845,10/02/2026,Peterborough,Buxton,Maliq Cadogan,right-foot,regular,miss,0.2038,0.0
15322125,03/02/2026,Peterborough,Fylde,Maliq Cadogan,right-foot,throw-in-set-piece,goal,0.02432,0.01021
14168789,17/01/2026,Peterborough,Merthyr,Maliq Cadogan,right-foot,regular,block,0.04288,0.0
14168789,17/01/2026,Peterborough,Merthyr,Maliq Cadogan,left-foot,regular,block,0.07597,0.0
14168682,22/11/2025,Peterborough,Radcliffe,Maliq Cadogan,right-foot,regular,goal,0.06702,0.02314
14168837,07/02/2026,Peterborough,Curzon Ashton,Maliq Cadogan,right-foot,regular,block,0.07883,0.0
14168837,07/02/2026,Peterborough,Curzon Ashton,Maliq Cadogan,left-foot,regular,block,0.02581,0.0
14168837,07/02/2026,Peterborough,Curzon Ashton,Maliq Cadogan,right-foot,corner,save,0.04047,0.09179
14168862,14/02/2026,Peterborough,Spennymoor,Maliq Cadogan,right-foot,regular,block,0.004603,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Maliq Cadogan,right-foot,regular,block,0.005288,0.0
14168910,07/03/2026,Peterborough,Southport,Maliq Cadogan,right-foot,corner,miss,0.007823,0.0
14168874,21/02/2026,Peterborough,Radcliffe,Maliq Cadogan,right-foot,regular,block,0.04104,0.0
