Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14813803,28/10/2025,King's Lynn,Curzon Ashton,Bailey Clements,right-foot,regular,miss,0.01607,0.0
14813803,28/10/2025,King's Lynn,Curzon Ashton,Bailey Clements,left-foot,regular,block,0.1991,0.0
14813803,28/10/2025,King's Lynn,Curzon Ashton,Bailey Clements,left-foot,regular,block,0.3222,0.0
14168727,20/12/2025,King's Lynn,Darlington,Bailey Clements,right-foot,throw-in-set-piece,miss,0.03845,0.0
14168479,16/08/2025,King's Lynn,Hereford,Bailey Clements,right-foot,throw-in-set-piece,block,0.004322,0.0
14168473,09/08/2025,King's Lynn,Telford,Bailey Clements,left-foot,corner,block,0.01529,0.0
14168513,23/08/2025,King's Lynn,Darlington,Bailey Clements,left-foot,corner,block,0.2005,0.0
14168513,23/08/2025,King's Lynn,Darlington,Bailey Clements,left-foot,throw-in-set-piece,save,0.05959,0.06374
14168661,04/11/2025,King's Lynn,Leamington,Bailey Clements,left-foot,regular,save,0.01906,0.1262
14168941,21/03/2026,King's Lynn,Curzon Ashton,Bailey Clements,head,set-piece,save,0.636,0.726
14168941,21/03/2026,King's Lynn,Curzon Ashton,Bailey Clements,right-foot,regular,save,0.09289,0.2306
14168577,20/09/2025,King's Lynn,Marine,Bailey Clements,right-foot,regular,block,0.1464,0.0
14168503,19/08/2025,King's Lynn,Spennymoor,Bailey Clements,left-foot,regular,goal,0.2851,0.536
14168503,19/08/2025,King's Lynn,Spennymoor,Bailey Clements,head,corner,save,0.1732,0.1958
14168503,19/08/2025,King's Lynn,Spennymoor,Bailey Clements,left-foot,regular,block,0.04022,0.0
14168625,21/10/2025,King's Lynn,Worksop,Bailey Clements,right-foot,regular,goal,0.546,0.8676
14168956,28/03/2026,King's Lynn,Spennymoor,Bailey Clements,left-foot,set-piece,miss,0.05069,0.0
14169003,18/04/2026,King's Lynn,Chorley,Bailey Clements,left-foot,regular,block,0.02484,0.0
14169003,18/04/2026,King's Lynn,Chorley,Bailey Clements,left-foot,regular,miss,0.1108,0.0
