Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168786,17/01/2026,Telford,Curzon Ashton,James Armson,right-foot,regular,goal,0.1162,0.127
14837164,11/11/2025,Telford,Marine,James Armson,head,corner,miss,0.1649,0.0
14837164,11/11/2025,Telford,Marine,James Armson,right-foot,set-piece,block,0.1426,0.0
14837164,11/11/2025,Telford,Marine,James Armson,left-foot,set-piece,block,0.03201,0.0
14168811,27/01/2026,Telford,Merthyr,James Armson,right-foot,corner,block,0.01992,0.0
14168811,27/01/2026,Telford,Merthyr,James Armson,head,regular,miss,0.09043,0.0
14168811,27/01/2026,Telford,Merthyr,James Armson,right-foot,regular,block,0.3869,0.0
14168876,21/02/2026,Telford,South Shields,James Armson,left-foot,regular,block,0.02321,0.0
14168876,21/02/2026,Telford,South Shields,James Armson,head,regular,miss,0.3022,0.0
14168601,18/10/2025,Telford,Scarborough,James Armson,head,corner,save,0.0735,0.3955
14168735,26/12/2025,Telford,Chester,James Armson,left-foot,set-piece,miss,0.01505,0.0
14168901,07/03/2026,Telford,Alfreton,James Armson,right-foot,regular,miss,0.05967,0.0
14168989,11/04/2026,Telford,Peterborough,James Armson,left-foot,throw-in-set-piece,miss,0.01965,0.0
